Startup_ID,Startup_Name,Sector,City,Founded_Year,Funding_Stage,Total_Funding_USD,Investor,Status,Employees,Annual_Revenue_USD,Survival_Years,Is_Unicorn
IN0103,Startup_103,SaaS,Chennai,2011,Bootstrapped,5777000,Sequoia Capital India,Acquired,4446,0,8,0
IN0104,Startup_104,LogisticsTech,Bengaluru,2013,Series D+,30010000,Blume Ventures,Closed,424,0,4,0
IN0105,Startup_105,SaaS,Jaipur,2012,Series C,48923000,Accel Partners,Closed,238,0,11,0
IN0106,Startup_106,HRTech,Hyderabad,2021,Series A,577000,Matrix Partners,Closed,765,0,1,0
IN0107,Startup_107,EdTech,Ahmedabad,2011,Series A,57385000,SAIF Partners,Closed,2241,0,7,0
IN0108,Startup_108,FoodTech,Ahmedabad,2013,Grant,1927000,500 Startups,Closed,4912,0,9,0
IN0109,Startup_109,HealthTech,Mumbai,2014,Bootstrapped,7096000,Nexus Venture,Closed,23,0,5,0
IN0110,Startup_110,SaaS,Noida,2019,Grant,3134000,Blume Ventures,Acquired,2829,0,3,0
IN0111,Startup_111,TravelTech,Jaipur,2016,Grant,3914000,Angel Network,Acquired,1958,0,5,0
IN0112,Startup_112,LogisticsTech,Hyderabad,2023,Bootstrapped,4473000,Angel Network,Active,3125,1519000,0,0
IN0113,Startup_113,HealthTech,Ahmedabad,2010,Series A,53239000,Y Combinator,Closed,824,0,8,0
IN0114,Startup_114,EdTech,Jaipur,2017,Pre-Seed,3292000,Bootstrapped,Closed,1266,0,1,0
IN0115,Startup_115,FoodTech,Pune,2015,Bootstrapped,4261000,Y Combinator,Closed,4373,0,7,0
IN0116,Startup_116,AgriTech,Ahmedabad,2023,Pre-Seed,947000,Bootstrapped,Closed,2356,0,1,0
IN0117,Startup_117,EdTech,Kolkata,2011,Seed,55581000,500 Startups,Closed,239,0,1,0
IN0118,Startup_118,AgriTech,Bengaluru,2014,Series D+,5908000,SAIF Partners,Closed,3377,0,3,0
IN0119,Startup_119,HealthTech,Delhi NCR,2011,Bootstrapped,2190000,500 Startups,Closed,4779,0,3,0
IN0120,Startup_120,E-Commerce,Ahmedabad,2020,Series C,73486000,500 Startups,Closed,3813,0,2,0
IN0121,Startup_121,TravelTech,Delhi NCR,2011,Grant,4445000,Nexus Venture,Merged,3477,0,12,0
IN0122,Startup_122,SaaS,Ahmedabad,2023,Series C,27021000,Blume Ventures,Closed,875,0,1,0
IN0123,Startup_123,LogisticsTech,Noida,2015,Series C,17855000,Y Combinator,Merged,3244,0,5,0
IN0124,Startup_124,FinTech,Noida,2023,Pre-Seed,8955000,Y Combinator,Acquired,2346,0,1,0
IN0125,Startup_125,HRTech,Chennai,2013,Series B,23754000,Angel Network,Closed,1122,0,2,0
IN0126,Startup_126,FinTech,Pune,2022,Grant,4410000,Tiger Global,Active,740,3229000,1,0
IN0127,Startup_127,AgriTech,Kolkata,2012,Series B,21622000,Kalaari Capital,Closed,4350,0,9,0
IN0128,Startup_128,SaaS,Delhi NCR,2014,Grant,2077000,Y Combinator,Merged,2776,0,2,0
IN0129,Startup_129,FoodTech,Mumbai,2012,Series B,36252000,Matrix Partners,Acquired,4567,0,6,0
IN0130,Startup_130,EdTech,Kolkata,2010,Series C,36492000,Bootstrapped,Closed,2149,0,10,0
IN0131,Startup_131,LogisticsTech,Chennai,2011,Series B,37249000,SAIF Partners,Closed,2689,0,10,0
IN0132,Startup_132,E-Commerce,Mumbai,2020,Grant,3352000,Matrix Partners,Acquired,957,0,1,0
IN0133,Startup_133,FinTech,Bengaluru,2014,Grant,2856000,SAIF Partners,Closed,1113,0,7,0
IN0134,Startup_134,FoodTech,Chennai,2020,Bootstrapped,3637000,500 Startups,Closed,3400,0,3,0
IN0135,Startup_135,EdTech,Ahmedabad,2019,Bootstrapped,2252000,Angel Network,Merged,3037,0,2,0
IN0136,Startup_136,FoodTech,Ahmedabad,2013,Series D+,34331000,SAIF Partners,Active,2940,3276000,10,0
IN0137,Startup_137,SaaS,Hyderabad,2011,Grant,1497000,Bootstrapped,Active,4893,1165000,12,0
IN0138,Startup_138,FinTech,Chennai,2013,Series A,25022000,Y Combinator,Closed,4542,0,4,0
IN0139,Startup_139,HRTech,Hyderabad,2023,Series B,5250000,500 Startups,Closed,4884,0,1,0
IN0140,Startup_140,SaaS,Delhi NCR,2012,Series C,7828000,Y Combinator,Acquired,213,0,3,0
IN0141,Startup_141,FinTech,Chennai,2022,Series B,2386000,Nexus Venture,Closed,431,0,1,0
IN0142,Startup_142,LogisticsTech,Jaipur,2011,Seed,46725000,SAIF Partners,Closed,4865,0,2,0
IN0143,Startup_143,FoodTech,Jaipur,2013,Pre-Seed,4545000,Bootstrapped,Closed,4273,0,5,0
IN0144,Startup_144,FoodTech,Bengaluru,2010,Grant,2140000,Accel Partners,Acquired,4018,0,12,0
IN0145,Startup_145,FoodTech,Mumbai,2011,Series D+,3424000,Nexus Venture,Closed,4797,0,9,0
IN0146,Startup_146,AgriTech,Kolkata,2019,Series C,24257000,Accel Partners,Closed,939,0,2,0
IN0147,Startup_147,LogisticsTech,Ahmedabad,2013,Bootstrapped,2732000,Matrix Partners,Closed,780,0,6,0
IN0148,Startup_148,LogisticsTech,Chennai,2020,Series C,9328000,500 Startups,Closed,3887,0,1,0
IN0149,Startup_149,EdTech,Mumbai,2011,Bootstrapped,5916000,Government Grant,Active,1067,2764000,12,0
IN0150,Startup_150,HRTech,Jaipur,2018,Series D+,14437000,Y Combinator,Closed,3466,0,1,0
IN0151,Startup_151,SaaS,Noida,2014,Series D+,35593000,Tiger Global,Active,3952,7766000,9,0
IN0152,Startup_152,EdTech,Chennai,2023,Series D+,22430000,SoftBank,Closed,3517,0,1,0
IN0153,Startup_153,HRTech,Pune,2010,Series A,26708000,500 Startups,Closed,2785,0,6,0
IN0154,Startup_154,FinTech,Delhi NCR,2023,Series A,48394000,Tiger Global,Closed,253,0,1,0
IN0155,Startup_155,TravelTech,Hyderabad,2016,Bootstrapped,717000,Nexus Venture,Closed,2659,0,7,0
IN0156,Startup_156,HRTech,Noida,2011,Pre-Seed,2643000,Sequoia Capital India,Closed,670,0,5,0
IN0157,Startup_157,FoodTech,Kolkata,2017,Grant,1090000,SAIF Partners,Closed,934,0,3,0
IN0158,Startup_158,LogisticsTech,Mumbai,2014,Grant,1864000,SoftBank,Closed,3239,0,1,0
IN0159,Startup_159,FinTech,Hyderabad,2014,Series B,91817000,Nexus Venture,Closed,2689,0,2,0
IN0160,Startup_160,FinTech,Ahmedabad,2021,Bootstrapped,4594000,Angel Network,Closed,1887,0,2,0
IN0161,Startup_161,EdTech,Kolkata,2023,Pre-Seed,3689000,Accel Partners,Closed,2566,0,2,0
IN0162,Startup_162,HRTech,Kolkata,2021,Bootstrapped,1424000,Kalaari Capital,Closed,1409,0,2,0
IN0163,Startup_163,AgriTech,Mumbai,2016,Seed,23596000,SAIF Partners,Closed,646,0,4,0
IN0164,Startup_164,SaaS,Chennai,2013,Series D+,5485000,Bootstrapped,Closed,936,0,9,0
IN0165,Startup_165,TravelTech,Hyderabad,2022,Series D+,43124000,Bootstrapped,Closed,1211,0,1,0
IN0166,Startup_166,EdTech,Delhi NCR,2014,Series B,12399000,Government Grant,Closed,619,0,3,0
IN0167,Startup_167,FoodTech,Ahmedabad,2022,Grant,4412000,Bootstrapped,Closed,2649,0,2,0
IN0168,Startup_168,HealthTech,Ahmedabad,2011,Grant,2746000,Nexus Venture,Closed,4846,0,1,0
IN0169,Startup_169,AgriTech,Jaipur,2011,Series C,1601000,Kalaari Capital,Closed,2353,0,2,0
IN0170,Startup_170,EdTech,Noida,2019,Bootstrapped,4443000,Government Grant,Closed,338,0,4,0
IN0171,Startup_171,HRTech,Hyderabad,2015,Grant,3352000,Blume Ventures,Closed,849,0,6,0
IN0172,Startup_172,EdTech,Jaipur,2020,Series A,56668000,Blume Ventures,Active,4295,25051000,3,0
IN0173,Startup_173,HealthTech,Chennai,2015,Series C,69769000,Bootstrapped,Closed,4899,0,1,0
IN0174,Startup_174,AgriTech,Mumbai,2015,Seed,15524000,Nexus Venture,Closed,4939,0,3,0
IN0175,Startup_175,AgriTech,Mumbai,2019,Series A,12478000,Bootstrapped,Acquired,3212,0,2,0
IN0176,Startup_176,HRTech,Mumbai,2014,Bootstrapped,1156000,Tiger Global,Closed,4314,0,2,0
IN0177,Startup_177,LogisticsTech,Jaipur,2015,Pre-Seed,1098000,SoftBank,Closed,2801,0,8,0
IN0178,Startup_178,E-Commerce,Hyderabad,2012,Series A,92949000,Accel Partners,Active,4160,58386000,11,1
IN0179,Startup_179,TravelTech,Bengaluru,2020,Series D+,27850000,Elevation Capital,Acquired,3088,0,1,0
IN0180,Startup_180,HealthTech,Delhi NCR,2023,Series A,4219000,Kalaari Capital,Closed,1947,0,2,0
IN0181,Startup_181,HRTech,Pune,2022,Grant,845000,Government Grant,Closed,3844,0,1,0
IN0182,Startup_182,AgriTech,Noida,2017,Grant,3115000,SAIF Partners,Closed,4322,0,4,0
IN0183,Startup_183,HealthTech,Hyderabad,2022,Series A,4981000,Blume Ventures,Acquired,3042,0,1,0
IN0184,Startup_184,TravelTech,Mumbai,2014,Seed,12348000,500 Startups,Closed,4207,0,3,0
IN0185,Startup_185,LogisticsTech,Mumbai,2013,Grant,5584000,Matrix Partners,Acquired,438,0,7,0
IN0186,Startup_186,TravelTech,Chennai,2013,Bootstrapped,1693000,Sequoia Capital India,Merged,2612,0,2,0
IN0187,Startup_187,AgriTech,Delhi NCR,2012,Pre-Seed,3321000,Angel Network,Closed,1138,0,8,0
IN0188,Startup_188,FoodTech,Noida,2010,Seed,10900000,Tiger Global,Active,4497,8231000,13,0
IN0189,Startup_189,HRTech,Jaipur,2016,Seed,8394000,Accel Partners,Closed,393,0,2,0
IN0190,Startup_190,LogisticsTech,Noida,2017,Seed,54328000,Elevation Capital,Active,4393,3386000,6,0
IN0191,Startup_191,TravelTech,Noida,2013,Series A,170000,Kalaari Capital,Closed,1972,0,10,0
IN0192,Startup_192,LogisticsTech,Delhi NCR,2020,Seed,21764000,SAIF Partners,Closed,4459,0,3,0
IN0193,Startup_193,TravelTech,Jaipur,2010,Bootstrapped,206000,Matrix Partners,Acquired,3060,0,5,0
IN0194,Startup_194,FinTech,Chennai,2022,Seed,88086000,Bootstrapped,Closed,851,0,2,0
IN0195,Startup_195,HealthTech,Bengaluru,2015,Series D+,16005000,Government Grant,Acquired,3808,0,8,0
IN0196,Startup_196,HealthTech,Delhi NCR,2011,Grant,1838000,Government Grant,Active,1636,1313000,12,0
IN0197,Startup_197,AgriTech,Pune,2018,Bootstrapped,2177000,Nexus Venture,Merged,301,0,2,0
IN0198,Startup_198,SaaS,Chennai,2023,Pre-Seed,2334000,Accel Partners,Acquired,3016,0,2,0
IN0199,Startup_199,LogisticsTech,Ahmedabad,2016,Series D+,29873000,Blume Ventures,Merged,3011,0,7,0
IN0200,Startup_200,TravelTech,Pune,2022,Seed,3644000,Elevation Capital,Closed,1480,0,2,0
IN0201,Startup_201,AgriTech,Mumbai,2011,Series D+,12329000,Elevation Capital,Closed,3492,0,3,0
IN0202,Startup_202,FoodTech,Chennai,2017,Pre-Seed,4559000,Elevation Capital,Closed,3565,0,3,0
IN0203,Startup_203,FinTech,Mumbai,2020,Bootstrapped,9623000,Bootstrapped,Closed,1312,0,1,0
IN0204,Startup_204,HealthTech,Noida,2020,Grant,633000,Government Grant,Active,3002,204000,3,0
IN0205,Startup_205,HRTech,Bengaluru,2019,Series A,33214000,Kalaari Capital,Closed,3638,0,1,0
IN0206,Startup_206,HRTech,Delhi NCR,2018,Series D+,22770000,SoftBank,Closed,931,0,1,0
IN0207,Startup_207,HealthTech,Ahmedabad,2018,Bootstrapped,1086000,Government Grant,Acquired,2134,0,4,0
IN0208,Startup_208,E-Commerce,Noida,2014,Grant,1528000,Accel Partners,Closed,3705,0,3,0
IN0209,Startup_209,FoodTech,Mumbai,2022,Series D+,35521000,SAIF Partners,Closed,4443,0,2,0
IN0210,Startup_210,SaaS,Delhi NCR,2021,Series A,35687000,Accel Partners,Closed,1648,0,1,0
IN0211,Startup_211,E-Commerce,Ahmedabad,2010,Series D+,40833000,Government Grant,Closed,4521,0,3,0
IN0212,Startup_212,HRTech,Mumbai,2011,Series C,25121000,Blume Ventures,Closed,4308,0,7,0
IN0213,Startup_213,LogisticsTech,Noida,2011,Series A,38612000,Blume Ventures,Merged,3818,0,11,0
IN0214,Startup_214,TravelTech,Chennai,2012,Series A,5894000,SAIF Partners,Closed,455,0,2,0
IN0215,Startup_215,TravelTech,Delhi NCR,2014,Series A,42070000,SoftBank,Closed,2836,0,9,0
IN0216,Startup_216,SaaS,Mumbai,2014,Series B,38626000,Tiger Global,Closed,2482,0,9,0
IN0217,Startup_217,EdTech,Jaipur,2020,Series A,46536000,Tiger Global,Closed,4959,0,2,0
IN0218,Startup_218,HRTech,Bengaluru,2023,Pre-Seed,3320000,Government Grant,Active,4726,825000,0,0
IN0219,Startup_219,E-Commerce,Noida,2016,Pre-Seed,6914000,Nexus Venture,Closed,2476,0,4,0
IN0220,Startup_220,E-Commerce,Kolkata,2014,Grant,697000,Blume Ventures,Active,3406,288000,9,0
IN0221,Startup_221,E-Commerce,Chennai,2019,Series A,79133000,Angel Network,Closed,2831,0,4,0
IN0222,Startup_222,HealthTech,Chennai,2018,Seed,42143000,Nexus Venture,Closed,3685,0,2,0
IN0223,Startup_223,HealthTech,Mumbai,2010,Series C,77815000,Matrix Partners,Merged,2035,0,3,0
IN0224,Startup_224,AgriTech,Noida,2021,Series D+,6458000,SAIF Partners,Closed,3826,0,2,0
IN0225,Startup_225,SaaS,Ahmedabad,2010,Seed,35455000,SoftBank,Merged,1764,0,10,0
IN0226,Startup_226,AgriTech,Bengaluru,2010,Series C,35305000,Bootstrapped,Closed,3857,0,5,0
IN0227,Startup_227,TravelTech,Bengaluru,2023,Seed,39722000,Angel Network,Closed,2998,0,2,0
IN0228,Startup_228,AgriTech,Bengaluru,2016,Pre-Seed,787000,SAIF Partners,Closed,2366,0,1,0
IN0229,Startup_229,LogisticsTech,Jaipur,2017,Series C,37470000,Elevation Capital,Acquired,975,0,2,0
IN0230,Startup_230,EdTech,Kolkata,2015,Series D+,29375000,Tiger Global,Closed,1632,0,7,0
IN0231,Startup_231,TravelTech,Bengaluru,2010,Pre-Seed,1505000,Blume Ventures,Closed,4256,0,8,0
IN0232,Startup_232,HealthTech,Noida,2018,Series A,55292000,Tiger Global,Closed,3221,0,5,0
IN0233,Startup_233,SaaS,Noida,2015,Grant,2109000,Y Combinator,Closed,138,0,6,0
IN0234,Startup_234,AgriTech,Mumbai,2016,Series C,29040000,Angel Network,Acquired,220,0,5,0
IN0235,Startup_235,FoodTech,Pune,2020,Series B,29239000,Tiger Global,Closed,4296,0,3,0
IN0236,Startup_236,HRTech,Kolkata,2012,Series B,33192000,Accel Partners,Active,1564,2131000,11,0
IN0237,Startup_237,AgriTech,Kolkata,2012,Bootstrapped,1647000,Government Grant,Closed,3865,0,1,0
IN0238,Startup_238,HealthTech,Jaipur,2013,Series D+,43210000,Matrix Partners,Merged,2572,0,3,0
IN0239,Startup_239,FoodTech,Jaipur,2015,Series D+,43403000,Bootstrapped,Closed,2167,0,8,0
IN0240,Startup_240,E-Commerce,Hyderabad,2014,Series C,107031000,Nexus Venture,Closed,2369,0,4,0
IN0241,Startup_241,FoodTech,Chennai,2017,Series D+,46734000,Angel Network,Closed,2242,0,3,0
IN0242,Startup_242,EdTech,Noida,2020,Bootstrapped,3168000,Kalaari Capital,Acquired,1201,0,2,0
IN0243,Startup_243,FinTech,Pune,2021,Seed,53364000,Nexus Venture,Closed,3926,0,1,0
IN0244,Startup_244,E-Commerce,Jaipur,2014,Series C,67878000,Elevation Capital,Closed,1962,0,4,0
IN0245,Startup_245,FinTech,Jaipur,2013,Series B,49890000,Angel Network,Active,3871,6257000,10,0
IN0246,Startup_246,HealthTech,Bengaluru,2018,Series A,84172000,500 Startups,Closed,3898,0,4,0
IN0247,Startup_247,E-Commerce,Pune,2015,Series C,99910000,Accel Partners,Closed,4705,0,4,0
IN0248,Startup_248,TravelTech,Bengaluru,2012,Bootstrapped,799000,500 Startups,Acquired,299,0,7,0
IN0249,Startup_249,FoodTech,Delhi NCR,2021,Series C,612000,Elevation Capital,Acquired,4939,0,1,0
